,i,rating
521,1213,9
522,1214,10
523,1216,27
524,1217,4
525,1220,42
526,1222,31
527,1223,13
528,1224,62
529,1225,4
530,1226,44
531,1227,24
532,1228,37
533,1230,46
534,1231,3
535,1233,15
536,1234,4
537,1235,18
538,1236,104
539,1237,33
540,1238,31
541,1239,68
542,1240,119
543,1241,17
544,1242,7
545,1243,50
546,1244,77
547,1245,11
548,1246,15
549,1247,22
550,1249,26
551,1250,50
552,1252,4
553,1253,76
554,1254,28
555,1256,25
556,1257,30
557,1258,4
558,1260,61
559,1261,17
560,1262,22
561,1263,18
562,1264,13
563,1265,18
564,1266,19
565,1267,88
566,1268,50
567,1269,23
568,1270,22
569,1271,28
570,1272,5
571,1273,14
572,1274,61
573,1275,73
574,1276,3
575,1277,28
576,1279,59
577,1280,35
578,1281,11
579,1283,44
580,1284,56
581,1285,26
582,1286,118
583,1288,6
584,1289,25
585,1290,16
586,1291,38
587,1292,29
588,1294,4
589,1296,3
590,1298,52
591,1303,9
592,1304,54
593,1307,45
594,1310,3
595,1311,18
596,1312,10
597,1322,3
598,1324,9
599,1326,4
600,1329,10
601,1334,8
602,1335,10
603,1336,3
604,1340,9
605,1343,5
606,1344,26
607,1345,10
608,1348,11
609,1349,4
610,1352,3
611,1354,3
612,1358,13
613,1362,25
614,1363,8
615,1377,3
616,1381,3
617,1384,8
618,1391,11
619,1401,12
620,1402,4
621,1413,20
622,1420,6
623,1429,10
624,1450,11
625,1451,3
626,1453,18
627,1454,14
628,1455,16
629,1457,3
630,1458,3
631,1459,39
632,1460,3
633,1461,10
634,1462,62
635,1463,22
636,1464,97
637,1465,18
638,1466,24
639,1467,96
640,1468,38
641,1469,39
642,1470,56
643,1471,34
644,1472,188
645,1473,98
646,1474,31
647,1475,105
648,1476,49
649,1477,38
650,1479,47
651,1480,37
652,1481,11
653,1482,26
654,1483,19
655,1484,41
656,1485,37
657,1486,10
658,1487,15
659,1488,8
660,1489,10
661,1490,4
662,1491,19
663,1492,3
664,1493,43
665,1494,10
666,1495,4
667,1496,24
668,1497,10
669,1498,7
670,1499,34
671,1500,5
672,1501,49
673,1502,30
674,1503,34
675,1504,29
676,1505,37
677,1506,23
678,1507,11
679,1510,11
680,1511,83
681,1513,9
682,1514,9
683,1516,5
684,1518,15
685,1519,15
686,1520,19
687,1521,6
688,1522,18
689,1523,7
690,1524,3
691,1525,33
692,1526,38
693,1527,27
694,1528,17
695,1529,3
696,1530,27
697,1531,28
698,1533,51
699,1534,4
700,1535,21
701,1536,3
702,1537,4
703,1539,102
704,1540,7
705,1541,3
706,1542,3
707,1543,4
708,1544,12
709,1546,13
710,1547,60
711,1548,4
712,1549,5
713,1555,73
714,1556,4
715,1567,11
716,1568,14
717,1569,5
718,1573,5
719,1574,4
720,1575,6
721,1578,11
722,1591,3
723,1602,8
724,1605,10
725,1606,3
726,1620,10
727,1622,6
728,1625,3
729,1626,4
730,1627,
731,1629,11
732,1632,22
733,1635,36
734,1636,3
735,1637,52
736,1643,46
737,1646,14
738,1647,6
739,1649,60
740,1650,13
741,1652,3
742,1653,27
743,1655,9
744,1659,70
745,1661,15
746,1662,3
747,1668,4
748,1670,5
749,1671,49
750,1674,3
751,1675,5
752,1678,5
753,1683,65
754,1688,3
755,1711,6
756,1725,9
757,1734,3
758,1735,3
759,1738,4
760,1771,5
761,1772,22
762,1773,8
763,1774,3
764,1777,7
765,1783,3
766,1799,4
767,1801,14
768,1802,3
769,1803,22
770,1804,28
771,1805,10
772,1807,3
773,1808,10
774,1809,7
775,1810,23
776,1812,4
777,1813,13
778,1814,27
779,1817,9
780,1818,8
781,1834,21
782,1835,20
783,1836,24
784,1837,46
785,1838,68
786,1839,33
787,1840,56
788,1841,5
789,1842,18
790,1844,28
791,1845,61
792,1847,13
793,1849,22
794,1850,50
795,1853,56
796,1854,16
797,1856,25
798,1857,3
